engine,case_id,candidate_start,candidate_end,submit_at,candidate_px,previous_close,outcome,candidate_shares
Book,up,2026-09-17 09:45:00,2026-09-17 09:46:00,2026-09-17 09:45:00.001000,10.25,10.0,before_submit,0
Book,up,2026-09-17 09:46:00,2026-09-17 09:47:00,2026-09-17 09:45:00.001000,10.6,10.0,FILLED,900
Book,down,2026-09-17 09:45:00,2026-09-17 09:46:00,2026-09-17 09:45:00.001000,10.25,10.0,before_submit,0
Book,down,2026-09-17 09:46:00,2026-09-17 09:47:00,2026-09-17 09:45:00.001000,9.9,10.0,FILLED,900
Book,unchanged_price,2026-09-17 09:46:00,2026-09-17 09:47:00,2026-09-17 09:45:00.001000,10.2,10.0,FILLED,900
Book,fallback_0943,2026-09-17 09:45:00,2026-09-17 09:46:00,2026-09-17 09:45:00.001000,10.25,10.0,before_submit,0
Book,fallback_0943,2026-09-17 09:46:00,2026-09-17 09:47:00,2026-09-17 09:45:00.001000,10.3,10.0,FILLED,900
Book,missing_bar,2026-09-17 09:50:00,2026-09-17 09:51:00,2026-09-17 09:45:00.001000,10.4,10.0,FILLED,900
Book,limit_release,2026-09-17 09:46:00,2026-09-17 09:47:00,2026-09-17 09:45:00.001000,11.0,10.0,limit_up,0
Book,limit_release,2026-09-17 09:47:00,2026-09-17 09:48:00,2026-09-17 09:45:00.001000,10.5,10.0,FILLED,900
Book,limit_exhausted,2026-09-17 09:46:00,2026-09-17 09:47:00,2026-09-17 09:45:00.001000,11.0,10.0,limit_up,0
Book,limit_exhausted,2026-09-17 09:47:00,2026-09-17 09:48:00,2026-09-17 09:45:00.001000,11.0,10.0,limit_up,0
Book,overnight,2026-09-18 09:30:00,2026-09-18 09:31:00,2026-09-17 09:45:00.001000,10.4,10.2,FILLED,900
Book,cash_reject,2026-09-17 09:46:00,2026-09-17 09:47:00,2026-09-17 09:45:00.001000,10.5,10.0,cash_reject_terminal,0
v7,trial_add,2026-09-17 14:45:00,2026-09-17 14:46:00,2026-09-17 14:45:00.001000,10.4,10.4,before_submit,0
v7,trial_add,2026-09-17 14:46:00,2026-09-17 14:47:00,2026-09-17 14:45:00.001000,10.6,10.4,FILLED,19200
v7,four_add,2026-09-17 14:45:00,2026-09-17 14:46:00,2026-09-17 14:45:00.001000,10.8,10.8,before_submit,0
v7,four_add,2026-09-17 14:46:00,2026-09-17 14:47:00,2026-09-17 14:45:00.001000,11.0,10.8,FILLED,18500
v7,six_add,2026-09-17 14:45:00,2026-09-17 14:46:00,2026-09-17 14:45:00.001000,11.2,11.2,before_submit,0
v7,six_add,2026-09-17 14:46:00,2026-09-17 14:47:00,2026-09-17 14:45:00.001000,11.399999999999999,11.2,FILLED,17800
v7,eight_add,2026-09-17 14:45:00,2026-09-17 14:46:00,2026-09-17 14:45:00.001000,11.6,11.6,before_submit,0
v7,eight_add,2026-09-17 14:46:00,2026-09-17 14:47:00,2026-09-17 14:45:00.001000,11.799999999999999,11.6,FILLED,17200
v7,down,2026-09-17 14:46:00,2026-09-17 14:47:00,2026-09-17 14:45:00.001000,10.1,10.0,FILLED,19200
v7,unchanged_price,2026-09-17 14:46:00,2026-09-17 14:47:00,2026-09-17 14:45:00.001000,10.4,10.0,FILLED,19200
v7,missing_bar,2026-09-17 14:50:00,2026-09-17 14:51:00,2026-09-17 14:45:00.001000,10.5,10.0,FILLED,19200
v7,overnight,2026-09-18 09:30:00,2026-09-18 09:31:00,2026-09-17 14:55:00.001000,10.6,10.4,FILLED,19200
v7,limit_release,2026-09-17 14:46:00,2026-09-17 14:47:00,2026-09-17 14:45:00.001000,11.0,10.0,limit_up,0
v7,limit_release,2026-09-17 14:47:00,2026-09-17 14:48:00,2026-09-17 14:45:00.001000,10.5,10.0,FILLED,19200
v7,limit_down_release,2026-09-17 14:46:00,2026-09-17 14:47:00,2026-09-17 14:45:00.001000,9.0,10.0,limit_down,0
v7,limit_down_release,2026-09-17 14:47:00,2026-09-17 14:48:00,2026-09-17 14:45:00.001000,10.3,10.0,FILLED,19200
v7,limit_exhausted,2026-09-17 14:46:00,2026-09-17 14:47:00,2026-09-17 14:45:00.001000,11.0,10.0,limit_up,0
