engine,case_id,axis,scope,source,symbol,stage,quote_at,close_available_at,decision_at,submit_at,decision_px,quote_age_seconds,action,baseline_status,baseline_reason,baseline_fill_at,baseline_fill_px,baseline_shares,baseline_cash_after,next_status,next_reason,next_fill_at,next_fill_px,next_shares,next_cash_after,status_match,matched_fill,same_price,price_diff,price_diff_bp,fixed_exit_day,fixed_exit_px,baseline_local_pnl,next_local_pnl,baseline_local_return,next_local_return,local_pnl_delta,local_return_delta_bp,baseline_local_rank,next_local_rank,local_rank_delta
Book,up,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00.001000,10.2,0.0,buy,FILLED,chase:T+1,2026-09-17 09:45:00,10.2,900,990810.82,FILLED,first_eligible_open,2026-09-17 09:46:00,10.6,900,990450.46,True,True,False,0.40000000000000036,392.15686274509886,2026-09-21,10.7,431.1900000000005,70.82999999999993,0.04692366457072345,0.007417111190696088,-360.3600000000006,-395.0655338002736,3.5,7.0,3.5
Book,down,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00.001000,10.2,0.0,buy,FILLED,chase:T+1,2026-09-17 09:45:00,10.2,900,990810.82,FILLED,first_eligible_open,2026-09-17 09:46:00,9.9,900,991081.09,True,True,False,-0.29999999999999893,-294.1176470588225,2026-09-21,10.5,251.36999999999898,521.6399999999994,0.027354997943233126,0.0584869675778766,270.27000000000044,311.31969634643474,7.0,1.0,-6.0
Book,unchanged_price,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00.001000,10.2,0.0,buy,FILLED,chase:T+1,2026-09-17 09:45:00,10.2,900,990810.82,FILLED,first_eligible_open,2026-09-17 09:46:00,10.2,900,990810.82,True,True,True,0.0,0.0,2026-09-21,10.7,431.1900000000005,431.1900000000005,0.04692366457072345,0.04692366457072345,0.0,0.0,3.5,2.0,-1.5
Book,fallback_0943,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 09:43:00,2026-09-17 09:43:00,2026-09-17 09:45:00,2026-09-17 09:45:00.001000,10.2,120.0,buy,FILLED,chase:T+1,2026-09-17 09:45:00,10.2,900,990810.82,FILLED,first_eligible_open,2026-09-17 09:46:00,10.3,900,990720.73,True,True,False,0.10000000000000142,98.03921568627638,2026-09-21,10.7,431.1900000000005,341.10000000000036,0.04692366457072345,0.0367593571477067,-90.09000000000015,-101.64307423016751,3.5,3.0,-0.5
Book,missing_bar,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00.001000,10.2,0.0,buy,FILLED,chase:T+1,2026-09-17 09:45:00,10.2,900,990810.82,FILLED,first_eligible_open,2026-09-17 09:50:00,10.4,900,990630.64,True,True,False,0.20000000000000107,196.07843137255054,2026-09-21,10.7,431.1900000000005,251.01000000000022,0.04692366457072345,0.026790517175132582,-180.1800000000003,-201.3314739559087,3.5,4.5,1.0
Book,limit_release,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00.001000,10.2,0.0,buy,FILLED,chase:T+1,2026-09-17 09:45:00,10.2,900,990810.82,FILLED,first_eligible_open,2026-09-17 09:47:00,10.5,900,990540.55,True,True,False,0.3000000000000007,294.11764705882473,2026-09-21,10.7,431.1900000000005,160.92000000000007,0.04692366457072345,0.017011559868702734,-270.27000000000044,-299.1210470202072,3.5,6.0,2.5
Book,limit_exhausted,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00.001000,10.2,0.0,buy,FILLED,chase:T+1,2026-09-17 09:45:00,10.2,900,990810.82,UNFILLED,limit_up,,,0,1000000.0,False,False,,,,2026-09-21,10.7,431.1900000000005,,0.04692366457072345,,,,,,
Book,overnight,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00.001000,10.2,0.0,buy,FILLED,chase:T+1,2026-09-17 09:45:00,10.2,900,990810.82,FILLED,first_eligible_open,2026-09-18 09:30:00,10.4,900,990630.64,True,True,False,0.20000000000000107,196.07843137255054,2026-09-21,10.7,431.1900000000005,251.01000000000022,0.04692366457072345,0.026790517175132582,-180.1800000000003,-201.3314739559087,3.5,4.5,1.0
Book,cash_reject,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00.001000,10.2,0.0,buy,FILLED,chase:T+1,2026-09-17 09:45:00,10.2,900,60.81999999999971,UNFILLED,cash_reject_terminal,,,0,9250,False,False,,,,2026-09-21,10.7,431.1900000000005,,0.04692366457072345,,,,,,
Book,no_next_bar,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00.001000,10.2,0.0,buy,FILLED,chase:T+1,2026-09-17 09:45:00,10.2,900,990810.82,UNFILLED,no_candidate,,,0,1000000.0,False,False,,,,2026-09-21,10.7,431.1900000000005,,0.04692366457072345,,,,,,
