engine,case_id,scope,axis,scheme,slip_per_side_bp,shares,coverage,buy_px,sell_px,buy_fee,sell_fee,stamp_fee,net_pnl,net_return,pnl_delta,return_delta_bp,baseline_local_rank,scenario_local_rank,local_rank_delta
Book,up,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,up,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,900,commission_proxy_only,10.205099999999998,10.69465,9.184589999999998,9.625185,0.0,421.7852249999996,0.045877264106384805,-9.404775000000882,-10.464004643386469,5.0,5.0,0.0
Book,up,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,900,commission_proxy_only,10.210199999999999,10.6893,9.189179999999999,9.62037,0.0,412.38045000000056,0.044831908997155584,-18.809549999999945,-20.917555735678675,5.0,5.0,0.0
Book,up,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,900,commission_proxy_only,10.2204,10.6786,9.198360000000001,9.61074,0.0,393.5708999999988,0.04274432858441299,-37.61910000000171,-41.793359863104634,5.0,5.0,0.0
Book,up,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,up,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,REPLACE_COMMISSION_3BP_MIN5_STAMP_SELL5BP,0,900,replacement_commission_min5_plus_assumed_sell_stamp5bp_no_transfer,10.2,10.7,5.0,5.0,4.815,435.1849999999995,0.04737996733805112,3.9949999999989814,4.563027673276654,5.0,5.0,0.0
Book,down,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.5,9.18,9.450000000000001,0.0,251.36999999999898,0.027354997943233126,0.0,0.0,10.0,10.0,0.0
Book,down,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,900,commission_proxy_only,10.205099999999998,10.49475,9.184589999999998,9.445275,0.0,242.05513500000052,0.02632815636607864,-9.314864999998463,-10.268415771544845,10.0,10.0,0.0
Book,down,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,900,commission_proxy_only,10.210199999999999,10.4895,9.189179999999999,9.44055,0.0,232.74027000000206,0.025302340604685548,-18.629729999996925,-20.526573385475782,10.0,10.0,0.0
Book,down,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,900,commission_proxy_only,10.2204,10.479,9.198360000000001,9.431099999999999,0.0,214.11053999999785,0.02325378038657339,-37.25946000000113,-41.012175566597364,10.0,10.0,0.0
Book,down,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.5,9.18,9.450000000000001,0.0,251.36999999999898,0.027354997943233126,0.0,0.0,10.0,10.0,0.0
Book,down,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,REPLACE_COMMISSION_3BP_MIN5_STAMP_SELL5BP,0,900,replacement_commission_min5_plus_assumed_sell_stamp5bp_no_transfer,10.2,10.5,5.0,5.0,4.7250000000000005,255.27499999999964,0.027792596624931915,3.905000000000655,4.3759868169878855,10.0,10.0,0.0
Book,unchanged_price,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,unchanged_price,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,900,commission_proxy_only,10.205099999999998,10.69465,9.184589999999998,9.625185,0.0,421.7852249999996,0.045877264106384805,-9.404775000000882,-10.464004643386469,5.0,5.0,0.0
Book,unchanged_price,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,900,commission_proxy_only,10.210199999999999,10.6893,9.189179999999999,9.62037,0.0,412.38045000000056,0.044831908997155584,-18.809549999999945,-20.917555735678675,5.0,5.0,0.0
