engine,case_id,role,date,hm,open,close,high,low,bar_start,bar_end
Book,up,baseline_input,2026-09-17,571,10.0,10.0,10.0,10.0,2026-09-17 09:30:00,2026-09-17 09:31:00
Book,up,baseline_input,2026-09-17,585,10.0,10.2,10.2,10.0,2026-09-17 09:44:00,2026-09-17 09:45:00
Book,up,candidate,2026-09-17,586,10.25,10.25,10.25,10.25,2026-09-17 09:45:00,2026-09-17 09:46:00
Book,up,candidate,2026-09-17,587,10.6,10.6,10.6,10.6,2026-09-17 09:46:00,2026-09-17 09:47:00
Book,down,baseline_input,2026-09-17,571,10.0,10.0,10.0,10.0,2026-09-17 09:30:00,2026-09-17 09:31:00
Book,down,baseline_input,2026-09-17,585,10.0,10.2,10.2,10.0,2026-09-17 09:44:00,2026-09-17 09:45:00
Book,down,candidate,2026-09-17,586,10.25,10.25,10.25,10.25,2026-09-17 09:45:00,2026-09-17 09:46:00
Book,down,candidate,2026-09-17,587,9.9,9.9,9.9,9.9,2026-09-17 09:46:00,2026-09-17 09:47:00
Book,unchanged_price,baseline_input,2026-09-17,571,10.0,10.0,10.0,10.0,2026-09-17 09:30:00,2026-09-17 09:31:00
Book,unchanged_price,baseline_input,2026-09-17,585,10.0,10.2,10.2,10.0,2026-09-17 09:44:00,2026-09-17 09:45:00
Book,unchanged_price,candidate,2026-09-17,587,10.2,10.2,10.2,10.2,2026-09-17 09:46:00,2026-09-17 09:47:00
Book,fallback_0943,baseline_input,2026-09-17,571,10.0,10.0,10.0,10.0,2026-09-17 09:30:00,2026-09-17 09:31:00
Book,fallback_0943,baseline_input,2026-09-17,583,10.0,10.2,10.2,10.0,2026-09-17 09:42:00,2026-09-17 09:43:00
Book,fallback_0943,candidate,2026-09-17,586,10.25,10.25,10.25,10.25,2026-09-17 09:45:00,2026-09-17 09:46:00
Book,fallback_0943,candidate,2026-09-17,587,10.3,10.3,10.3,10.3,2026-09-17 09:46:00,2026-09-17 09:47:00
Book,missing_bar,baseline_input,2026-09-17,571,10.0,10.0,10.0,10.0,2026-09-17 09:30:00,2026-09-17 09:31:00
Book,missing_bar,baseline_input,2026-09-17,585,10.0,10.2,10.2,10.0,2026-09-17 09:44:00,2026-09-17 09:45:00
Book,missing_bar,candidate,2026-09-17,591,10.4,10.4,10.4,10.4,2026-09-17 09:50:00,2026-09-17 09:51:00
Book,limit_release,baseline_input,2026-09-17,571,10.0,10.0,10.0,10.0,2026-09-17 09:30:00,2026-09-17 09:31:00
Book,limit_release,baseline_input,2026-09-17,585,10.0,10.2,10.2,10.0,2026-09-17 09:44:00,2026-09-17 09:45:00
Book,limit_release,candidate,2026-09-17,587,11.0,11.0,11.0,11.0,2026-09-17 09:46:00,2026-09-17 09:47:00
Book,limit_release,candidate,2026-09-17,588,10.5,10.5,10.5,10.5,2026-09-17 09:47:00,2026-09-17 09:48:00
Book,limit_exhausted,baseline_input,2026-09-17,571,10.0,10.0,10.0,10.0,2026-09-17 09:30:00,2026-09-17 09:31:00
Book,limit_exhausted,baseline_input,2026-09-17,585,10.0,10.2,10.2,10.0,2026-09-17 09:44:00,2026-09-17 09:45:00
Book,limit_exhausted,candidate,2026-09-17,587,11.0,11.0,11.0,11.0,2026-09-17 09:46:00,2026-09-17 09:47:00
Book,limit_exhausted,candidate,2026-09-17,588,11.0,11.0,11.0,11.0,2026-09-17 09:47:00,2026-09-17 09:48:00
Book,overnight,baseline_input,2026-09-17,571,10.0,10.0,10.0,10.0,2026-09-17 09:30:00,2026-09-17 09:31:00
Book,overnight,baseline_input,2026-09-17,585,10.0,10.2,10.2,10.0,2026-09-17 09:44:00,2026-09-17 09:45:00
Book,overnight,candidate,2026-09-18,571,10.4,10.4,10.4,10.4,2026-09-18 09:30:00,2026-09-18 09:31:00
Book,cash_reject,baseline_input,2026-09-17,571,10.0,10.0,10.0,10.0,2026-09-17 09:30:00,2026-09-17 09:31:00
Book,cash_reject,baseline_input,2026-09-17,585,10.0,10.2,10.2,10.0,2026-09-17 09:44:00,2026-09-17 09:45:00
Book,cash_reject,candidate,2026-09-17,587,10.5,10.5,10.5,10.5,2026-09-17 09:46:00,2026-09-17 09:47:00
Book,no_next_bar,baseline_input,2026-09-17,571,10.0,10.0,10.0,10.0,2026-09-17 09:30:00,2026-09-17 09:31:00
Book,no_next_bar,baseline_input,2026-09-17,585,10.0,10.2,10.2,10.0,2026-09-17 09:44:00,2026-09-17 09:45:00
Book,abandon,baseline_input,2026-09-17,571,10.0,10.0,10.0,10.0,2026-09-17 09:30:00,2026-09-17 09:31:00
Book,abandon,baseline_input,2026-09-17,585,10.0,9.9,10.0,9.9,2026-09-17 09:44:00,2026-09-17 09:45:00
Book,abandon,candidate,2026-09-17,587,10.1,10.1,10.1,10.1,2026-09-17 09:46:00,2026-09-17 09:47:00
Book,decision_limit,baseline_input,2026-09-17,571,10.0,10.0,10.0,10.0,2026-09-17 09:30:00,2026-09-17 09:31:00
Book,decision_limit,baseline_input,2026-09-17,585,10.0,11.0,11.0,10.0,2026-09-17 09:44:00,2026-09-17 09:45:00
Book,decision_limit,candidate,2026-09-17,587,10.5,10.5,10.5,10.5,2026-09-17 09:46:00,2026-09-17 09:47:00
v7,trial_add,baseline_input,2026-09-17,885,10.4,10.4,10.4,10.4,2026-09-17 14:44:00,2026-09-17 14:45:00
v7,trial_add,candidate,2026-09-17,886,10.4,10.4,10.4,10.4,2026-09-17 14:45:00,2026-09-17 14:46:00
v7,trial_add,candidate,2026-09-17,887,10.6,10.6,10.6,10.6,2026-09-17 14:46:00,2026-09-17 14:47:00
