engine,case_id,symbol,date,scope,axis,source,stage,signal_hm,bar_label_semantics,quote_at,close_available_at,decision_at,submit_at,decision_px,limit_reference_at,limit_reference_px,limit_reference_kind,injected_entry_a,injected_anchor_at,injected_lot_shares,injected_cash,baseline_status,baseline_reason,baseline_fill_at,baseline_fill_px,baseline_shares,baseline_cash_after,next_status,next_reason,next_fill_at,next_fill_px,next_shares,next_cash_after,matched_fill,status_match,same_price,price_diff,price_diff_bp,fixed_exit_day,fixed_exit_px,exit_mark_at,local_pair_status,baseline_local_pnl,next_local_pnl,baseline_local_return,next_local_return,local_pnl_delta,local_return_delta_bp,baseline_local_rank,next_local_rank,local_rank_delta,production_replay,full_replay_status,full_strategy_nav,full_strategy_return,max_drawdown,strategy_rank,strategy_rank_delta,action,source_lineage
Book,000021.SZ_20260916_585_pending_chase,000021.SZ,2026-09-16,local event sensitivity not strategy claim,clock,qlib_bin_1min,pending_chase,585,lake_index_is_bar_start_wallclock,2026-09-16 09:45:00,2026-09-16 09:46:00,2026-09-16 09:46:00,2026-09-16 09:46:00.001000,34.02000045776367,2026-09-15 15:00:00,33.90999984741211,previous_calendar_day_1500_minute_close_proxy_not_official_daily,,,,1000000.0,FILLED,chase:T+1,2026-09-16 09:46:00,34.02000045776367,200,993189.1959083558,FILLED,first_eligible_open,2026-09-16 09:47:00,34.040000915527344,200,993185.1918167114,True,True,False,0.020000457763671875,5.879029245898781,2026-09-17,35.5,2026-09-17 14:55:00,PRICE_PAIR_ONLY_NOT_EXECUTED_EXIT,282.0959083557127,278.09181671142505,0.04141888454871239,0.040806991074725775,-4.004091644287655,-6.118934739866161,,,,DATA_GAP,DATA_GAP,,,,,,buy,parquet_lineage
v7,000021.SZ_20260916_884_trial,000021.SZ,2026-09-16,local event sensitivity not strategy claim,clock,qlib_bin_1min,trial,884,lake_index_is_bar_start_wallclock,2026-09-16 14:44:00,2026-09-16 14:45:00,2026-09-16 14:45:00,2026-09-16 14:45:00.001000,36.15999984741211,2026-09-15 15:00:00,33.90999984741211,previous_calendar_day_1500_minute_close_proxy_not_official_daily,34.95000076293945,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-17,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
v7,000021.SZ_20260916_884_four,000021.SZ,2026-09-16,local event sensitivity not strategy claim,clock,qlib_bin_1min,four,884,lake_index_is_bar_start_wallclock,2026-09-16 14:44:00,2026-09-16 14:45:00,2026-09-16 14:45:00,2026-09-16 14:45:00.001000,36.15999984741211,2026-09-15 15:00:00,33.90999984741211,previous_calendar_day_1500_minute_close_proxy_not_official_daily,34.95000076293945,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-17,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
v7,000021.SZ_20260916_884_six,000021.SZ,2026-09-16,local event sensitivity not strategy claim,clock,qlib_bin_1min,six,884,lake_index_is_bar_start_wallclock,2026-09-16 14:44:00,2026-09-16 14:45:00,2026-09-16 14:45:00,2026-09-16 14:45:00.001000,36.15999984741211,2026-09-15 15:00:00,33.90999984741211,previous_calendar_day_1500_minute_close_proxy_not_official_daily,34.95000076293945,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-17,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
v7,000021.SZ_20260916_884_eight,000021.SZ,2026-09-16,local event sensitivity not strategy claim,clock,qlib_bin_1min,eight,884,lake_index_is_bar_start_wallclock,2026-09-16 14:44:00,2026-09-16 14:45:00,2026-09-16 14:45:00,2026-09-16 14:45:00.001000,36.15999984741211,2026-09-15 15:00:00,33.90999984741211,previous_calendar_day_1500_minute_close_proxy_not_official_daily,34.95000076293945,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-17,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
v7,000021.SZ_20260916_885_trial,000021.SZ,2026-09-16,local event sensitivity not strategy claim,clock,qlib_bin_1min,trial,885,lake_index_is_bar_start_wallclock,2026-09-16 14:45:00,2026-09-16 14:46:00,2026-09-16 14:46:00,2026-09-16 14:46:00.001000,36.18000030517578,2026-09-15 15:00:00,33.90999984741211,previous_calendar_day_1500_minute_close_proxy_not_official_daily,34.95000076293945,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-17,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
v7,000021.SZ_20260916_885_four,000021.SZ,2026-09-16,local event sensitivity not strategy claim,clock,qlib_bin_1min,four,885,lake_index_is_bar_start_wallclock,2026-09-16 14:45:00,2026-09-16 14:46:00,2026-09-16 14:46:00,2026-09-16 14:46:00.001000,36.18000030517578,2026-09-15 15:00:00,33.90999984741211,previous_calendar_day_1500_minute_close_proxy_not_official_daily,34.95000076293945,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-17,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
v7,000021.SZ_20260916_885_six,000021.SZ,2026-09-16,local event sensitivity not strategy claim,clock,qlib_bin_1min,six,885,lake_index_is_bar_start_wallclock,2026-09-16 14:45:00,2026-09-16 14:46:00,2026-09-16 14:46:00,2026-09-16 14:46:00.001000,36.18000030517578,2026-09-15 15:00:00,33.90999984741211,previous_calendar_day_1500_minute_close_proxy_not_official_daily,34.95000076293945,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-17,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
v7,000021.SZ_20260916_885_eight,000021.SZ,2026-09-16,local event sensitivity not strategy claim,clock,qlib_bin_1min,eight,885,lake_index_is_bar_start_wallclock,2026-09-16 14:45:00,2026-09-16 14:46:00,2026-09-16 14:46:00,2026-09-16 14:46:00.001000,36.18000030517578,2026-09-15 15:00:00,33.90999984741211,previous_calendar_day_1500_minute_close_proxy_not_official_daily,34.95000076293945,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-17,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
v7,000021.SZ_20260916_894_trial,000021.SZ,2026-09-16,local event sensitivity not strategy claim,clock,qlib_bin_1min,trial,894,lake_index_is_bar_start_wallclock,2026-09-16 14:54:00,2026-09-16 14:55:00,2026-09-16 14:55:00,2026-09-16 14:55:00.001000,36.220001220703125,2026-09-15 15:00:00,33.90999984741211,previous_calendar_day_1500_minute_close_proxy_not_official_daily,34.95000076293945,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-17,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
v7,000021.SZ_20260916_894_four,000021.SZ,2026-09-16,local event sensitivity not strategy claim,clock,qlib_bin_1min,four,894,lake_index_is_bar_start_wallclock,2026-09-16 14:54:00,2026-09-16 14:55:00,2026-09-16 14:55:00,2026-09-16 14:55:00.001000,36.220001220703125,2026-09-15 15:00:00,33.90999984741211,previous_calendar_day_1500_minute_close_proxy_not_official_daily,34.95000076293945,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-17,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
v7,000021.SZ_20260916_894_six,000021.SZ,2026-09-16,local event sensitivity not strategy claim,clock,qlib_bin_1min,six,894,lake_index_is_bar_start_wallclock,2026-09-16 14:54:00,2026-09-16 14:55:00,2026-09-16 14:55:00,2026-09-16 14:55:00.001000,36.220001220703125,2026-09-15 15:00:00,33.90999984741211,previous_calendar_day_1500_minute_close_proxy_not_official_daily,34.95000076293945,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-17,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
v7,000021.SZ_20260916_894_eight,000021.SZ,2026-09-16,local event sensitivity not strategy claim,clock,qlib_bin_1min,eight,894,lake_index_is_bar_start_wallclock,2026-09-16 14:54:00,2026-09-16 14:55:00,2026-09-16 14:55:00,2026-09-16 14:55:00.001000,36.220001220703125,2026-09-15 15:00:00,33.90999984741211,previous_calendar_day_1500_minute_close_proxy_not_official_daily,34.95000076293945,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-17,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
Book,000021.SZ_20260917_585_pending_chase,000021.SZ,2026-09-17,local event sensitivity not strategy claim,clock,qlib_bin_1min,pending_chase,585,lake_index_is_bar_start_wallclock,2026-09-17 09:45:00,2026-09-17 09:46:00,2026-09-17 09:46:00,2026-09-17 09:46:00.001000,36.33000183105469,2026-09-16 15:00:00,36.20000076293945,previous_calendar_day_1500_minute_close_proxy_not_official_daily,,,,1000000.0,FILLED,chase:T+1,2026-09-17 09:46:00,36.33000183105469,200,992726.7336334229,FILLED,first_eligible_open,2026-09-17 09:47:00,36.33000183105469,200,992726.7336334229,True,True,True,0.0,0.0,2026-09-18,36.95000076293945,2026-09-18 14:55:00,PRICE_PAIR_ONLY_NOT_EXECUTED_EXIT,109.34378585815375,109.34378585815375,0.015033656179652846,0.015033656179652846,0.0,0.0,,,,DATA_GAP,DATA_GAP,,,,,,buy,parquet_lineage
v7,000021.SZ_20260917_884_trial,000021.SZ,2026-09-17,local event sensitivity not strategy claim,clock,qlib_bin_1min,trial,884,lake_index_is_bar_start_wallclock,2026-09-17 14:44:00,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00.001000,35.560001373291016,2026-09-16 15:00:00,36.20000076293945,previous_calendar_day_1500_minute_close_proxy_not_official_daily,34.95000076293945,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-18,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
