engine,strategy,cell_id,clock,slip_bp_per_side,fee_schedule,start,end,access,bar_label_semantics,daily_entry_source,final_equity,total_return,max_drawdown,within_engine_rank,status,artifact_dir,note
Book,version1,clock_next_open_fullstrat,next_tradable_open_research,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20972310.38213241,-0.0013185532317899762,-0.0018538758828717805,5,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\clock_next_open_fullstrat\book_version1_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version2,clock_next_open_fullstrat,next_tradable_open_research,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20972310.38213241,-0.0013185532317899762,-0.0018538758828717805,6,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\clock_next_open_fullstrat\book_version2_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version3,clock_next_open_fullstrat,next_tradable_open_research,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20967799.92921054,-0.0015333367042600354,-0.002041862955380558,7,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\clock_next_open_fullstrat\book_version3_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version4,clock_next_open_fullstrat,next_tradable_open_research,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20994909.748654984,-0.00024239292119121458,-0.0007417137360712367,3,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\clock_next_open_fullstrat\book_version4_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version5,clock_next_open_fullstrat,next_tradable_open_research,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,21013776.850259136,0.0006560404885302962,-0.0008749628257169739,2,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\clock_next_open_fullstrat\book_version5_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version6,clock_next_open_fullstrat,next_tradable_open_research,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20981349.319986414,-0.0008881276196945898,-0.0018538758828717805,4,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\clock_next_open_fullstrat\book_version6_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version8,clock_next_open_fullstrat,next_tradable_open_research,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,21071791.042886786,0.0034186210898470293,-0.0035541350767059887,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\clock_next_open_fullstrat\book_version8_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version1,slip_5bp_fullstrat,production_default,5,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20873867.739176,-0.0060062981344761734,-0.0060062981344761734,5,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_5bp_fullstrat\book_version1_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version2,slip_5bp_fullstrat,production_default,5,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20878927.143883403,-0.005765374100790366,-0.005765374100790366,4,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_5bp_fullstrat\book_version2_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version3,slip_5bp_fullstrat,production_default,5,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20908508.711721376,-0.004356728013267808,-0.00522249076826975,3,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_5bp_fullstrat\book_version3_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version4,slip_5bp_fullstrat,production_default,5,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20834182.566045094,-0.007896068283566926,-0.009136966173710848,7,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_5bp_fullstrat\book_version4_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version5,slip_5bp_fullstrat,production_default,5,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20946338.31381574,-0.0025553183897266685,-0.0032524375984869236,2,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_5bp_fullstrat\book_version5_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version6,slip_5bp_fullstrat,production_default,5,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20867190.9720343,-0.00632423942693805,-0.00632423942693805,6,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_5bp_fullstrat\book_version6_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version8,slip_5bp_fullstrat,production_default,5,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,21012239.076016523,0.0005828131436440565,-0.014362400711979695,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_5bp_fullstrat\book_version8_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version1,slip_10bp_fullstrat,production_default,10,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20876348.644286595,-0.005888159795876424,-0.005888159795876424,5,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_10bp_fullstrat\book_version1_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version2,slip_10bp_fullstrat,production_default,10,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20881537.2487978,-0.005641083390580892,-0.00578401490240521,4,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_10bp_fullstrat\book_version2_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version3,slip_10bp_fullstrat,production_default,10,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20902966.381140105,-0.0046206485171378375,-0.0054583809928409055,3,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_10bp_fullstrat\book_version3_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version4,slip_10bp_fullstrat,production_default,10,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20825902.797022957,-0.008290342998906741,-0.009377059009711974,7,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_10bp_fullstrat\book_version4_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version5,slip_10bp_fullstrat,production_default,10,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20938235.831498545,-0.002941150881021648,-0.003553149141185541,2,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_10bp_fullstrat\book_version5_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version6,slip_10bp_fullstrat,production_default,10,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20859550.62560806,-0.006688065447235214,-0.006688065447235214,6,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_10bp_fullstrat\book_version6_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version8,slip_10bp_fullstrat,production_default,10,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20978705.140148398,-0.0010140409453144317,-0.015502953642770656,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_10bp_fullstrat\book_version8_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version1,slip_20bp_fullstrat,production_default,20,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20856183.454757694,-0.006848406916300287,-0.006848406916300287,5,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_20bp_fullstrat\book_version1_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version2,slip_20bp_fullstrat,production_default,20,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20861301.06601609,-0.0066047111420910465,-0.006614210276836285,4,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_20bp_fullstrat\book_version2_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version3,slip_20bp_fullstrat,production_default,20,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20887369.43167953,-0.0053633603962129905,-0.0060342215384124875,3,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_20bp_fullstrat\book_version3_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version4,slip_20bp_fullstrat,production_default,20,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20809652.69445548,-0.009064157406881934,-0.009844053655299723,7,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_20bp_fullstrat\book_version4_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version5,slip_20bp_fullstrat,production_default,20,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20921101.680346306,-0.0037570628406520257,-0.004163294174819643,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_20bp_fullstrat\book_version5_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
